,n_eval,hv_value
513,51400,0.3195386
514,51500,0.3195386
515,51600,0.3195396
516,51700,0.3195396
517,51800,0.3195396
518,51900,0.3195409
519,52000,0.3195409
520,52100,0.3195418
521,52200,0.3195418
522,52300,0.3195418
523,52400,0.3195421
524,52500,0.3195436
525,52600,0.3195436
526,52700,0.3195436
527,52800,0.3195436
528,52900,0.3195436
529,53000,0.3195436
530,53100,0.3195436
531,53200,0.3195436
532,53300,0.3195441
533,53400,0.3195441
534,53500,0.319545
535,53600,0.3195458
536,53700,0.3195458
537,53800,0.319547
538,53900,0.3195476
539,54000,0.3195476
540,54100,0.3195479
541,54200,0.3195479
542,54300,0.319548
543,54400,0.3195484
544,54500,0.3195484
545,54600,0.3195484
546,54700,0.319549
547,54800,0.319549
548,54900,0.319549
549,55000,0.319549
550,55100,0.319549
551,55200,0.319549
552,55300,0.3195498
553,55400,0.3195498
554,55500,0.3195498
555,55600,0.3195498
556,55700,0.3195514
557,55800,0.3195514
558,55900,0.3195519
559,56000,0.319552
560,56100,0.319552
561,56200,0.3195521
562,56300,0.3195523
563,56400,0.3195523
564,56500,0.3195524
565,56600,0.3195524
566,56700,0.3195528
567,56800,0.3195528
568,56900,0.3195529
569,57000,0.3195542
570,57100,0.3195547
571,57200,0.3195547
572,57300,0.3195556
573,57400,0.3195564
574,57500,0.3195564
575,57600,0.3195564
576,57700,0.3195568
577,57800,0.3195572
578,57900,0.3195572
579,58000,0.3195572
580,58100,0.3195578
581,58200,0.3195582
582,58300,0.3195582
583,58400,0.3195582
584,58500,0.3195584
585,58600,0.3195584
586,58700,0.3195584
587,58800,0.3195584
588,58900,0.3195585
589,59000,0.3195594
590,59100,0.3195595
591,59200,0.3195595
592,59300,0.3195595
593,59400,0.3195596
594,59500,0.3195597
595,59600,0.3195599
596,59700,0.3195599
597,59800,0.3195603
598,59900,0.3195603
599,60000,0.3195603
600,60100,0.3195603
601,60200,0.3195603
602,60300,0.3195605
603,60400,0.3195607
604,60500,0.319561
605,60600,0.3195631
606,60700,0.3195633
607,60800,0.3195633
608,60900,0.3195633
609,61000,0.3195634
610,61100,0.3195634
611,61200,0.3195634
612,61300,0.3195634
613,61400,0.3195634
614,61500,0.3195634
615,61600,0.3195634
616,61700,0.3195635
617,61800,0.3195635
618,61900,0.3195635
619,62000,0.3195638
620,62100,0.3195638
621,62200,0.3195674
622,62300,0.3195683
623,62400,0.3195684
624,62500,0.3195687
625,62600,0.3195687
626,62700,0.3195687
627,62800,0.3195692
628,62900,0.3195692
629,63000,0.3195696
630,63100,0.3195696
631,63200,0.3195696
632,63300,0.3195733
633,63400,0.3195733
634,63500,0.3195733
635,63600,0.3195733
636,63700,0.3195733
637,63800,0.319574
638,63900,0.319574
639,64000,0.319574
640,64100,0.3195744
641,64200,0.3195744
642,64300,0.3195744
643,64400,0.3195744
644,64500,0.3195746
645,64600,0.3195751
646,64700,0.3195751
647,64800,0.3195751
648,64900,0.3195757
649,65000,0.3195758
650,65100,0.3195758
651,65200,0.3195758
652,65300,0.3195758
653,65400,0.3195758
654,65500,0.3195773
655,65600,0.3195789
656,65700,0.3195789
657,65800,0.3195791
658,65900,0.3195791
659,66000,0.3195791
660,66100,0.3195791
661,66200,0.3195791
662,66300,0.3195795
663,66400,0.3195795
664,66500,0.3195798
665,66600,0.3195798
666,66700,0.3195799
667,66800,0.3195799
668,66900,0.3195805
669,67000,0.3195805
670,67100,0.3195805
671,67200,0.3195805
672,67300,0.3195805
673,67400,0.3195805
674,67500,0.3198554
675,67600,0.3198562
676,67700,0.3198568
677,67800,0.3198667
678,67900,0.3198671
679,68000,0.3198671
680,68100,0.3198671
681,68200,0.3198671
682,68300,0.3198671
683,68400,0.3198671
684,68500,0.3198885
685,68600,0.3198885
686,68700,0.3198885
687,68800,0.3198885
688,68900,0.3198885
689,69000,0.3198885
690,69100,0.3198885
691,69200,0.3198885
692,69300,0.3198885
693,69400,0.3198885
694,69500,0.3198885
695,69600,0.3198885
696,69700,0.3198886
697,69800,0.3198894
698,69900,0.3198899
699,70000,0.3198899
700,70100,0.3198908
701,70200,0.3198908
702,70300,0.3198909
703,70400,0.3198909
704,70500,0.3198909
705,70600,0.3198921
706,70700,0.3198921
707,70800,0.3198921
708,70900,0.3198921
709,71000,0.3198921
710,71100,0.3198921
711,71200,0.3198921
712,71300,0.3198921
713,71400,0.3198921
714,71500,0.3198921
715,71600,0.3198921
716,71700,0.3198931
717,71800,0.3198932
718,71900,0.3198939
